Threshold: 5
Size: 3000, Random: 0.000438, Reverse: 0.000342, Nearly Sorted: 0.000224
Size: 3500, Random: 0.000520, Reverse: 0.000438, Nearly Sorted: 0.000256
Size: 4000, Random: 0.000716, Reverse: 0.000514, Nearly Sorted: 0.000347
Size: 4500, Random: 0.000693, Reverse: 0.000503, Nearly Sorted: 0.000371
Size: 5000, Random: 0.000939, Reverse: 0.000603, Nearly Sorted: 0.000453
Size: 5500, Random: 0.000905, Reverse: 0.000645, Nearly Sorted: 0.000446
Size: 6000, Random: 0.000939, Reverse: 0.000734, Nearly Sorted: 0.000473
Size: 6500, Random: 0.001106, Reverse: 0.000843, Nearly Sorted: 0.000527
Size: 7000, Random: 0.001135, Reverse: 0.000917, Nearly Sorted: 0.000554
Size: 7500, Random: 0.001253, Reverse: 0.001006, Nearly Sorted: 0.000595
Size: 8000, Random: 0.001391, Reverse: 0.000933, Nearly Sorted: 0.000731
Size: 8500, Random: 0.001486, Reverse: 0.001006, Nearly Sorted: 0.000763
Size: 9000, Random: 0.001543, Reverse: 0.001083, Nearly Sorted: 0.000806
Size: 9500, Random: 0.001590, Reverse: 0.001160, Nearly Sorted: 0.000874
Size: 10000, Random: 0.001698, Reverse: 0.001235, Nearly Sorted: 0.000881

Threshold: 50
Size: 500, Random: 0.000056, Reverse: 0.000054, Nearly Sorted: 0.000034
Size: 1000, Random: 0.000124, Reverse: 0.000115, Nearly Sorted: 0.000066
Size: 1500, Random: 0.000213, Reverse: 0.000219, Nearly Sorted: 0.000091
Size: 2000, Random: 0.000274, Reverse: 0.000246, Nearly Sorted: 0.000135
Size: 2500, Random: 0.000360, Reverse: 0.000345, Nearly Sorted: 0.000163
Size: 3000, Random: 0.000544, Reverse: 0.000562, Nearly Sorted: 0.000191
Size: 3500, Random: 0.000568, Reverse: 0.000519, Nearly Sorted: 0.000256
Size: 4000, Random: 0.000598, Reverse: 0.000523, Nearly Sorted: 0.000288
Size: 4500, Random: 0.000684, Reverse: 0.000617, Nearly Sorted: 0.000316
Size: 5000, Random: 0.000778, Reverse: 0.000728, Nearly Sorted: 0.000360
Size: 5500, Random: 0.000990, Reverse: 0.000846, Nearly Sorted: 0.000385
Size: 6000, Random: 0.001247, Reverse: 0.000973, Nearly Sorted: 0.000411
Size: 6500, Random: 0.001424, Reverse: 0.000882, Nearly Sorted: 0.000499
Size: 7000, Random: 0.001194, Reverse: 0.000932, Nearly Sorted: 0.000549
Size: 7500, Random: 0.001214, Reverse: 0.001284, Nearly Sorted: 0.000599
Size: 8000, Random: 0.001311, Reverse: 0.001318, Nearly Sorted: 0.000634
Size: 8500, Random: 0.001558, Reverse: 0.001203, Nearly Sorted: 0.000656
Size: 9000, Random: 0.001601, Reverse: 0.001341, Nearly Sorted: 0.000696
Size: 9500, Random: 0.001610, Reverse: 0.001426, Nearly Sorted: 0.000730
Size: 10000, Random: 0.001824, Reverse: 0.001550, Nearly Sorted: 0.000846
