Num, Area, Area_dff
87600, 0.947797, 0.00328009
88100, 0.956764, 0.0122469
88600, 0.935783, 0.00873417
89100, 0.935442, 0.00907531
89600, 0.951272, 0.00675476
90100, 0.946748, 0.0022311
90600, 0.953757, 0.00923937
91100, 0.957273, 0.0127557
91600, 0.940479, 0.00403851
92100, 0.944346, 0.000171602
92600, 0.943866, 0.000651071
93100, 0.933993, 0.0105238
93600, 0.946766, 0.00224851
94100, 0.950827, 0.00630978
94600, 0.943849, 0.000668385
95100, 0.949212, 0.00469451
95600, 0.930417, 0.0141006
96100, 0.939233, 0.00528399
96600, 0.933567, 0.0109506
97100, 0.948284, 0.00376654
97600, 0.934062, 0.010455
98100, 0.92831, 0.0162068
98600, 0.946281, 0.00176414
99100, 0.942586, 0.00193109
99600, 0.950446, 0.00592898
